code,ham/spam,message,
1,ham,004645 is SECRET OTP for txn of INR 11893.00 on Axis Bank card XX3874 at CFMSANDOTH on 12-06-20 12:17:09. OTP valid for 5 mins. Please do not share this OTP.,
1,ham,133355 is your OTP for conﬁrmation. Regards AP Sand,
1,ham,223316 is your OTP for conﬁrmation. Regards AP Sand,
1,ham,237222 is your OTP for conﬁrmation. Regards AP Sand,
1,ham,269220 is SECRET OTP for txn of INR 11893.00 on Axis Bank card XX3874 at CFMSANDOTH on 06-06-20 17:48:12. OTP valid for 5 mins. Please do not share this OTP.,
1,ham,275385 is your OTP for conﬁrmation. Regards AP Sand,
1,ham,295190 is your OTP for conﬁrmation. Regards AP Sand,
1,spam,"3 of our best offers for you, Bhanu! Extra Tee @ Rs.49 + Flat Rs.400 Off + Free Shipping Place your ﬁrst order @ Payday Sale http://smsd.in/TF71mdYh",
1,ham,320638 is SECRET OTP for txn of INR 11893.00 on Axis Bank card XX3874 at CFMSANDOTH on 06-06-20 12:48:21. OTP valid for 5 mins. Please do not share this OTP.,
1,ham,403020 is your OTP for conﬁrmation. Regards AP Sand,
1,ham,407316 is SECRET OTP for txn of INR 11893.00 on Axis Bank card XX3874 at CFMSANDOTH on 08-06-20 13:33:13. OTP valid for 5 mins. Please do not share this OTP.,
1,ham,424119 is your OTP for conﬁrmation. Regards AP Sand,
1,ham,454929 is your OTP for conﬁrmation. Regards AP Sand,
1,ham,530201 is SECRET OTP for txn of INR 13693.00 on Axis Bank card XX3874 at CFMSANDOTH on 12-06-20 13:39:35. OTP valid for 5 mins. Please do not share this OTP.,
1,ham,543523 is the OTP for sharing with the Transporter THOTA KRISHNAVENI (7777808383) to close the trip for successfully delivering the sand to your doorstep.,
1,ham,547075 is the OTP for sharing with the Transporter SRINIVASAREDDY (9494648973),
1,ham,547075 is the OTP for sharing with the Transporter SRINIVASAREDDY (9494648973) to close the trip for successfully delivering the sand to your doorstep.,
1,ham,548720 is the OTP for sharing with the Transporter THOTA KRISHNAVENI (7777808383) to close the trip for successfully delivering the sand to your doorstep.,
1,ham,682040 is your OTP for conﬁrmation. Regards AP Sand,
1,spam,70% Usage Alert! You have consumed 70% of your daily high speed data limit. Now get 12GB data at just Rs.98 for 28 days. Buy now at http://u.airtel.in/fupdigitalclm,
1,ham,734363 is the OTP for sharing with the Transporter THOTA KRISHNAVENI (7777808383) to close the trip for successfully delivering the sand to your doorstep.,
1,ham,771101 is your OTP for conﬁrmation. Regards AP Sand,
1,ham,788662 is your OTP for conﬁrmation. Regards AP Sand,
1,ham,869884 is the OTP for sharing with the Transporter THOTA KRISHNAVENI (7777808383) to close the trip for successfully delivering the sand to your doorstep.,
1,ham,921564 is the OTP for sharing with the Transporter A Tirumalarao (9866936393) to close the trip for successfully delivering the sand to your doorstep.,
1,ham,966306 is your OTP for conﬁrmation. Regards AP Sand,
1,ham,972863 is SECRET OTP for txn of INR 13693.00 on Axis Bank card XX3874 at CFMSANDOTH on 12-06-20 13:39:12. OTP valid for 5 mins. Please do not share this OTP.,
1,ham,987893 is SECRET OTP for txn of INR 11893.00 on Axis Bank card XX3874 at CFMSANDOTH on 12-06-20 12:18:05. OTP valid for 5 mins. Please do not share this OTP.,
1,ham,997722 is SECRET OTP for txn of INR 11893.00 on Axis Bank card XX3874 at CFMSANDOTH on 06-06-20 12:49:15. OTP valid for 5 mins. Please do not share this OTP.,
1,spam,All about pursuing MS/MBA from the best University in the world. Eligibility- Application Process- Courses- ROI etc. Link: https://bit.ly/2ZnHeeE,
1,spam,"At home? Watch 400+ LIVE TV channels,10k+ movies for FREE, only on your Airtel Xstream app. Click bit.ly/2OjTyov",
1,ham,"Available Bal in HDFC Bank A/c XX4018 on 03-DEC-21 INR 4,651.56. Cheque Deposits in A/c are subject to clearing. Enable WhatsApp Banking: bit.ly/3eJGItb",
1,spam,"Bhanu, 3 awesome deals for you Rs.500 credited + Flat Rs.300 Off + Free Shipping Shop now @ Black Friday Sale http://smsd.in/TqTrgJKP",
1,spam,"Bhanu, claim Rs.500 MynCash before End Of Reason Sale ends Valid till 8 PM | Also, get Flat Rs.600 Off + 30-day Free Shipping http://smsd.in/VdYVpG7n",
1,spam,"Bhanu, claim Rs.500 MynCash before Right To Fashion Sale ends Valid till 8 PM | Also, get Flat Rs.400 Off + Free Shipping http://smsd.in/WULNto1N",
1,spam,"Bhanu, End Of Reason Sale Is Coming Soon Get 50-80% Off + Flat Rs.500 Off + 30- Day Free Shipping From 20-24 Dec Wishlist Now http://smsd.in/UhweVcRR",
1,spam,"Bhanu, Get An Extra Item @ Just Re.1 Also, Get Flat Rs.500 Off + 30-Day Free Shipping Shop Now @ End Of Reason Sale http://smsd.in/UHY47e8D",
1,spam,"Bhanu, Get An Extra Item @ Re.1 New Users Also Get Flat Rs.600 Off + 1-Month Free Shipping Order Now @ End Of Reason Sale http://smsd.in/UWoDU6DF",
1,spam,"Bhanu, get Rs.500 MynCash @ Goodbye 2020 Sale Ends at midnight | Also, get Flat Rs.400 Off + Free Shipping Hurry up & shop now http://smsd.in/Vobg1Bct",
1,spam,"Bhanu, Here's Rs.500 For You! Also, Get FLAT Rs.500 OFF + Free Shipping @ End Of Reason Sale Ends At Midnight | Order Now http://smsd.in/UDK6v6YH",
1,spam,"Bhanu, here's Rs.500 MynCash | Valid till 8 PM Also, get Flat Rs.400 Off+Free Shipping Last day of Goodbye 2020 Sale | Use it now http://smsd.in/VwhnsI9b",
1,spam,"Bhanu, here's why you should shop at Roadster Grand Garage Sale Min. 50% Off+Extra Rs.500 Off+Free Shipping Ends midnight! Hurry http://smsd.in/SO7TgOzv",
1,spam,"Bhanu, new users get the best offers! Extra Item @ Rs.99 + Flat Rs.300 Off + Free Shipping Shop now @ Black Friday Sale http://smsd.in/TnmdmiCD",
1,spam,"Bhanu, new users love this deal Extra Item @ Rs.49 + Free Shipping Also, get Flat Rs.400 Off @ Myntra Birthday Sale | Shop now http://smsd.in/Yv5lnBC1",
1,spam,"Bhanu, our birthday treat for you: Rs.500 Also, get Flat Rs.400 Off + Free Shipping Ends midnight | Order @ Myntra Birthday Sale http://smsd.in/YpviHreh",
1,spam,"Bhanu, Rs.300 credited to your account Also, get Flat Rs.300 Off + Free Shipping Ends at midnight | Use it now http://smsd.in/WafbtxKP",
1,spam,"Bhanu, Rs.500 credited to your account Also, get Flat Rs.300 Off + Free Shipping Ends at midnight | Use it now http://smsd.in/SZD8QBNV",
1,spam,"Bhanu, Rs.500 credited to your account Also, get Flat Rs.300 Off + Free Shipping Ends at midnight | Use it now http://smsd.in/TKsjE7ZN",
1,spam,"Bhanu, Rs.500 credited to your account Also, get Flat Rs.300 Off + Free Shipping Ends at midnight | Use it now http://smsd.in/VXqxlGH7",
1,spam,"Bhanu, Rs.500 is up for grabs Claim it @ Right To Fashion Sale along with Flat Rs.400 Off Ends midnight | Shop with Free Shipping http://smsd.in/WOMF7SId",
1,spam,"Bhanu, Rs.500 is waiting for you @ Right To Fashion Sale Claim this along with Flat Rs.400 Off + Free Shipping Offers end midnight http://smsd.in/WAH0Vz1B",
1,spam,"Bhanu, Shop With Rs.500 MynCash Also, Get Flat Rs.400 Off + 30 Day Free Shipping @ Myntra Welcome Fest Offers End At Midnight http://smsd.in/YYo9Vzgl",
1,spam,BLACK FRIDAY EXCLUSIVE. Rs. 1000 credited to your LENSKART account. Use Voucher LNS7-8TA1KW. (Min. Value 3500. Buy1 Get1 applicable)App lskt.me/g1Store lskt.me/u1,
1,spam,book an FD and apply for Free Credit Card. T&C biz1s.com/Ovmwp3uJowZ,
1,spam,"CONGRATULATIONS! Get Unlimited downloads & streaming on Airtel Xstream App.Watch 10K+ shows,movies & 400+ LIVE TV channels. Get entertainment @ bit.ly/2OjTyov",
1,spam,Dear 82472201XX Online zero balance savings A/c that's ready in 5 minutes! Get,
1,ham,"Dear consumer, greetings from AP Sand. Your Sand Order ID: OS22010720112401573357 for the Quantity of 18 (MT),) has been dispatched on 24-11-20 at 05:17:15 PM by Kotayya (8522052628) via AP39X3462 to Muktyala Rd, Muktyala, Andhra Pradesh 521457, India. Thank you!",
1,ham,"Dear consumer, the payment of Rs. 14503/- has been received for the Order: OS22010720112401573357 of 18 (MT) on 24-11-20 at 01:57:34 PM. Your order will
 be dispatched soon. Thank you for ordering on AP Sand!",
